cliente_id,nombre,edad,region;pedido_id,cliente_id,fecha_compra,monto
;1210,194,2025-01-18,316.133
;1211,10,2024-12-31,174.574
;1212,56,2024-12-03,414.303
;1213,30,2024-07-12,187.899
;1214,109,2024-11-05,26.7718
;1215,5,2024-06-11,417.021
;1216,119,2024-07-26,179.144
;1217,33,2025-03-20,389.179
;1218,118,17/06/2024,187.751
;1219,65,2024-06-09,431.923
;1220,146,08/03/2024,117.56
;1221,177,15/10/2024,487.528
;1222,11,2025-02-01,392.082
;1223,85,03/10/2024,65.9766
;1224,26,2024-10-30,287.231
;1225,63,07/02/2025,492.83
;1226,86,2025-01-18,240.822
;1227,59,2025-01-26,99.2325
;1228,27,2024-05-14,247.541
;1229,177,2024-07-13,261.104
;1230,161,2025-02-04,373.427
;1231,98,2024-05-07,352.434
;1232,105,02/02/2024,207.25
;1233,99,2024-06-24,116.831
;1234,129,2025-03-18,326.077
;1235,149,2025-01-05,216.635
;1236,55,09/01/2025,74.8153
;1237,6,2024-01-22,451.28
;1238,197,2024-08-25,348.699
;1239,95,2024-06-06,344.76
;1240,133,07/02/2024,413.066
;1241,102,2024-08-17,269.534
;1242,3,2024-12-30,409.377
;1243,181,2024-02-20,254.064
;1244,23,2025-03-13,42.9159
;1245,53,2024-09-20,208.572
;1246,165,2024-10-09,253.758
;1247,83,2024-01-27,362.899
;1248,145,2024-08-13,62.2236
;1249,85,2024-10-03,78.6091
;1250,78,2024-10-12,139.205
;1251,201,2024-04-06,140.584
;1252,110,2024-10-10,368.77
;1253,1,2025-01-01,132.858
;1254,51,2025-03-23,320.218
;1255,173,12/11/2024,252.194
;1256,4,2024-10-30,290.914
;1257,190,2024-05-26,420.672
;1258,193,2024-01-04,208.147
;1259,113,04/02/2024,387.747
;1260,32,2024-07-10,216.798
;1261,34,2024-02-18,183.397
;1262,92,2024-01-17,479.727
;1263,95,2024-06-20,100.342
;1264,72,2024-08-07,54.2651
;1265,39,2024-06-06,387.783
;1266,154,2024-02-15,43.4424
;1267,162,2025-01-07,420.169
;1268,182,2024-01-06,224.225
;1269,118,2024-04-08,458.602
;1270,3,2025-01-14,363.551
;1271,123,2024-08-20,309.098
;1272,50,2024-02-06,475.16
;1273,12,06/10/2024,204.358
;1274,193,2024-12-14,477.503
;1275,54,28/10/2024,76.1506
;1276,133,2024-06-29,247.04
;1277,57,2024-04-04,142.256
;1278,145,2024-04-08,274.523
;1279,112,2024-07-06,89.3868
;1280,47,2024-04-25,422.35
;1281,151,2024-07-09,424.74
;1282,85,2024-09-09,478.066
;1283,142,19/02/2025,85.7893
;1284,66,2024-06-09,315.433
;1285,75,12/09/2024,242.376
;1286,179,2024-11-18,178.748
;1287,103,2024-05-07,182.255
;1288,166,18/01/2024,212.269
;1289,192,2024-10-07,355.414
;1290,38,2024-08-10,303.16
;1291,50,23/02/2024,235.244
;1292,98,27/02/2024,47.2074
;1293,82,2024-11-18,48.105
;1294,30,2024-12-25,11.1463
;1295,79,2024-06-22,484.173
;1296,91,2024-10-06,12.5744
;1297,179,2024-04-23,60.5159
;1298,191,2024-10-14,164.152
;1299,52,2025-03-06,405.641
;1300,166,2024-12-07,481.428
;1301,79,2024-05-30,397.107
;1302,30,25/03/2025,348.375
;1303,106,2024-05-06,265.437
;1304,51,2024-06-03,52.4856
;1305,81,2025-01-20,479.504
;1306,133,2024-09-29,381.612
;1307,29,2024-04-13,323.085
;1308,132,2025-02-20,381.928
;1309,138,27/01/2025,364.811
;1310,184,2024-10-25,322.243
;1311,145,2024-09-02,490.483
;1312,74,2024-06-24,452.648
;1313,17,08/02/2024,326.866
;1314,84,2024-06-18,349.656
;1315,69,03/09/2024,35.2819
;1316,34,2024-01-26,338.26
;1317,6,20/12/2024,31.6411
;1318,53,01/11/2024,298.249
;1319,194,2025-02-12,499.683
;1320,126,2025-02-11,282.345
;1321,43,2024-01-13,241.873
;1322,115,2024-11-11,163.299
;1323,111,2025-01-25,69.0561
;1324,151,2024-11-08,368.202
;1325,183,2024-02-05,104.374
;1326,80,2024-06-21,66.4882
;1327,95,2024-01-20,216.664
;1328,118,16/11/2024,399.718
;1329,144,2024-09-20,375.082
;1330,8,2025-02-03,36.8925
;1331,132,2024-05-21,233.02
;1332,104,2025-01-05,265.993
;1333,132,2024-05-22,325.828
;1334,184,01/04/2024,328.582
;1335,25,2024-12-19,188.702
;1336,195,2024-11-17,284.732
;1337,96,2024-10-14,245.72
;1338,195,2024-08-02,443.649
;1339,155,2025-03-22,269.83
;1340,93,2024-12-07,226.106
;1341,160,2024-02-20,208.198
;1342,178,2024-06-01,290.49
;1343,61,2024-07-04,403.949
;1344,122,2024-03-03,273.817
;1345,51,2024-07-08,334.211
;1346,147,2024-05-04,371.549
;1347,21,29/05/2024,264.882
;1348,5,09/11/2024,219.14
;1349,92,27/02/2024,439.566
;1350,170,2024-12-07,214.578
;1351,61,2024-10-31,236.352
;1352,22,28/06/2024,495.267
;1353,149,2024-06-18,10.1164
;1354,70,2024-11-21,100.882
;1355,1,2024-09-27,198.142
;1356,133,2024-02-23,466.969
;1357,12,19/03/2025,44.3146
;1358,90,2024-04-10,14.6479
;1359,46,2024-09-20,35.8151
;1360,34,22/02/2024,53.3863
;1361,177,2024-02-29,28.4224
;1362,78,17/04/2024,245.093
;1363,45,2024-01-05,294.571
;1364,155,2024-04-12,143.127
;1365,73,2024-07-14,205.161
;1366,26,2024-09-18,54.9327
;1367,47,2024-12-30,174.822
;1368,121,06/01/2025,266.034
;1369,56,2024-12-15,368.813
;1370,94,2024-02-16,11.6397
;1371,107,2024-12-20,238.982
;1372,63,2024-11-06,155.531
;1373,48,2025-02-27,427.883
;1374,61,2024-11-03,360.621
;1375,81,2024-05-23,298.663
;1376,26,25/09/2024,145.86
;1377,36,2025-01-04,456.066
;1378,1,2024-05-03,32.0993
;1379,8,15/04/2024,63.6391
;1380,113,2024-06-06,201.899
;1381,99,26/05/2024,70.9744
;1382,180,2024-05-24,478.644
;1383,47,2024-04-29,401.015
;1384,127,2024-11-14,136.901
;1385,56,2024-10-01,298.392
;1386,14,2024-04-01,491.342
;1387,28,2024-02-27,443.257
;1388,78,14/03/2025,304.391
;1389,130,11/12/2024,452.825
;1390,109,2024-08-16,494.701
;1391,154,2024-04-26,374.243
;1392,14,2024-11-13,41.8433
;1393,187,2024-10-05,206.774
;1394,56,06/05/2024,420.535
;1395,115,2025-01-27,122.979
;1396,7,2025-01-30,417.015
;1397,3,2024-05-08,68.966
;1398,111,2024-02-27,33.0032
;1399,151,2024-05-01,198.204
;1400,107,2024-01-01,27.9986
;1401,18,2024-08-26,479.062
;1402,38,2024-10-16,414.841
;1403,115,2024-04-05,402.377
;1404,15,2024-05-05,318.591
;1405,192,2024-04-27,115.999
;1406,119,2024-02-17,263.948
;1407,28,29/03/2024,302.664
;1408,39,2024-08-24,267.265
;1409,185,2025-01-07,137.514
;1410,17,19/01/2025,262.471
;1411,86,2024-09-28,250.681
;1412,126,2024-07-07,498.205
;1413,44,10/07/2024,449.744
;1414,25,2025-03-22,237.057
;1415,145,2024-03-01,440.093
;1416,73,2024-04-29,498.981
;1417,182,2024-01-06,213.25
;1418,173,2024-01-22,480.126
;1419,183,2024-11-20,360.292
;1420,47,11/11/2024,141.597
;1421,39,2024-07-29,335.539
;1422,14,2024-10-23,383.655
;1423,168,2024-06-25,47.8863
;1424,11,2024-08-27,94.6293
;1425,145,2024-06-12,28.9189
;1426,22,2025-01-31,65.5866
;1427,87,13/05/2024,197.835
;1428,108,2024-03-03,205.82
;1429,174,2024-02-14,294.665
;1430,91,2024-02-24,187.971
;1431,53,2024-12-08,70.8224
;1432,98,2024-12-07,122.955
;1433,146,13/10/2024,41.6033
;1434,50,2024-07-16,385.163
;1435,177,2024-09-02,125.753
;1436,93,2024-02-14,478.487
;1437,37,2024-12-03,274.68
;1438,70,2024-12-24,194.516
;1439,97,2025-02-10,465.733
;1440,103,2025-01-20,180.252
;1441,49,2025-01-22,23.011
;1442,58,2024-12-03,381.564
;1443,145,2024-09-21,402.046
;1444,142,2025-03-11,104.992
;1445,66,2025-01-09,58.985
;1446,14,2024-11-24,403.204
;1447,75,16/10/2024,344.07
;1448,117,2024-11-13,149.808
;1449,192,2024-12-25,197.882
;1450,122,2024-05-18,32.5594
;1451,79,2024-10-31,16.1402
;1452,168,2024-08-01,425.432
;1453,81,2024-06-10,318.995
;1454,42,2024-12-22,451.921
;1455,65,2024-05-30,157.068
;1456,135,2024-11-10,56.3475
;1457,45,2024-05-08,25.4673
;1458,52,2025-03-10,381.164
;1459,168,15/07/2024,274.634
;1460,107,2024-12-07,65.5532
;1461,37,26/10/2024,481.044
;1462,31,2024-12-01,238.08
;1463,40,2024-09-03,440.745
;1464,36,2024-09-14,12.5211
;1465,152,2025-01-18,411.774
;1466,6,2024-06-08,122.026
;1467,66,2024-12-05,455.264
;1468,75,2024-05-31,10.5489
;1469,4,2025-01-30,282.529
;1470,79,2024-06-26,380.752
;1471,134,2024-06-18,360.526
;1472,181,18/06/2024,406.878
;1473,143,2025-01-09,433.916
;1474,137,2024-06-10,279.167
;1475,122,2024-12-30,291.687
;1476,132,19/07/2024,235.845
;1477,96,2024-03-18,70.2177
;1478,91,2024-10-18,475.253
;1479,94,2025-02-17,187.755
;1480,179,2024-07-26,56.7644
;1481,145,16/08/2024,113.805
;1482,100,2024-04-03,53.0782
;1483,41,2025-02-14,424.162
;1484,35,2025-02-09,213.918
;1485,158,2024-05-19,184.288
;1486,189,2025-02-23,367.625
;1487,190,2024-09-24,471.18
;1488,151,2024-12-19,352.023
;1489,113,2025-02-26,210.893
;1490,185,13/05/2024,492.359
;1491,153,2025-01-26,183.076
;1492,184,2024-03-08,227.067
;1493,98,2024-05-15,94.2699
;1494,42,2024-09-02,413.754
;1495,187,02/09/2024,384.809
;1496,87,2025-03-12,498.401
;1497,74,2024-02-12,288.751
;1498,30,05/10/2024,74.8872
;1499,20,2024-11-28,250.638
;1500,80,2024-10-18,167.31
